x1,y1,x2,y2,hue
0,150,0,0,0
0,140,10,0,5
0,130,20,0,10
0,120,30,0,15
0,110,40,0,20
0,100,50,0,25
0,90,60,0,30
0,80,70,0,35
0,70,80,0,40
0,60,90,0,45
0,50,100,0,50
0,40,110,0,55
0,30,120,0,60
0,20,130,0,65
0,10,140,0,70
0,0,150,0,75
0,0,150,0,80
0,-10,140,0,85
0,-20,130,0,90
0,-30,120,0,95
0,-40,110,0,100
0,-50,100,0,105
0,-60,90,0,110
0,-70,80,0,115
0,-80,70,0,120
0,-90,60,0,125
0,-100,50,0,130
0,-110,40,0,135
0,-120,30,0,140
0,-130,20,0,145
0,-140,10,0,150
0,-150,0,0,155
0,-150,0,0,160
0,-140,-10,0,165
0,-130,-20,0,170
0,-120,-30,0,175
0,-110,-40,0,180
0,-100,-50,0,185
0,-90,-60,0,190
0,-80,-70,0,195
0,-70,-80,0,200
0,-60,-90,0,205
0,-50,-100,0,210
0,-40,-110,0,215
0,-30,-120,0,220
0,-20,-130,0,225
0,-10,-140,0,230
0,0,-150,0,235
0,0,-150,0,240
0,10,-140,0,245
0,20,-130,0,250
0,30,-120,0,255
0,40,-110,0,260
0,50,-100,0,265
0,60,-90,0,270
0,70,-80,0,275
0,80,-70,0,280
0,90,-60,0,285
0,100,-50,0,290
0,110,-40,0,295
0,120,-30,0,300
0,130,-20,0,305
0,140,-10,0,310
0,150,0,0,315
